compound,target_class,ecfp4_max_tanimoto,ecfp4_top5_mean,maccs_max_tanimoto,best_ref_molecule,best_ref_pchembl,best_ref_ic50_nm,best_ref_target,best_ref_organism,n_references,ecfp4_2nd_tanimoto,n_refs_above_0.4,n_refs_above_0.5,canonical_smiles,source_file,mw,logp,tpsa,hbd,hba,rotbonds,heavy_atoms,sulfonamide,beta_lactam,hydroxamate,diaminopyrimidine,xanthine,hydrazone,benzimidazole,benzothiazole,aryl_halide,similarity_component,top5_component,maccs_component,sar_bonus,evidence_score,organism_prior,evidence_tier,organism,organism_adjusted_score,panel_rank,panel_target_count,organism_target_panel,justification
T2Z6,TopoIV,0.1623931623931624,0.1590256732833173,0.6888888888888889,CHEMBL4294536,6.4,400.0,CHEMBL3329081,E. coli ParE,190,0.1610169491525423,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.11344211344211344,0.17561260729626063,0.8412698412698414,0.02,0.2468146847355981,1.05,low,Klebsiella pneumoniae,0.259155418972378,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
T2Z6,MurA,0.1851851851851851,0.1784266639571752,0.5949367088607594,CHEMBL5219036,4.8,16000.0,CHEMBL1984,E. coli,94,0.1801801801801801,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.15488215488215468,0.2187259199048338,0.7070524412296564,0.02,0.25818042360173427,1.0,low,Klebsiella pneumoniae,0.25818042360173427,2,5,DHFR; FabI; TopoIV; MurA; LpxH,"MurA catalyzes the first committed enolpyruvyl-transfer step of peptidoglycan synthesis; the best-established covalent benchmark is fosfomycin, so non-electrophilic similarity is provisional."
T2Z9,FabI,0.2,0.1881233671988389,0.7051282051282052,CHEMBL3623422,6.96,110.0,CHEMBL3994,S. aureus,331,0.19,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2402741493307531,0.8644688644688646,0.02,0.30064795791210885,1.0,low,Klebsiella pneumoniae,0.30064795791210885,1,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z9,MurA,0.2083333333333333,0.203920947128635,0.6282051282051282,CHEMBL365523,4.301029995663981,50000.0,CHEMBL1984,E. coli,94,0.2068965517241379,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.19696969696969685,0.27537988250807777,0.7545787545787547,0.02,0.3005166322986811,1.0,low,Klebsiella pneumoniae,0.3005166322986811,2,5,DHFR; FabI; TopoIV; MurA; LpxH,"MurA catalyzes the first committed enolpyruvyl-transfer step of peptidoglycan synthesis; the best-established covalent benchmark is fosfomycin, so non-electrophilic similarity is provisional."
X1V11,TopoIV,0.25,0.2334712872015598,0.5978260869565217,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2439024390243902,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.3410473048923551,0.7111801242236025,0.0,0.3283024812202655,1.05,low,Klebsiella pneumoniae,0.3447176052812788,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
X1V11,FabI,0.2463768115942029,0.2082019366845769,0.5733333333333334,CHEMBL2178293,6.07,860.0,CHEMBL1857,E. coli,331,0.2058823529411764,0,0,COc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,362.4360000000001,2.3983,106.67,2,7,5,24,0,0,0,0,0,0,0,0,0,0.26613965744400525,0.28489319263239316,0.6761904761904763,0.0,0.30572169830867235,1.0,low,Klebsiella pneumoniae,0.30572169830867235,2,5,DHFR; FabI; TopoIV; MurA; LpxH,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
X1V19,TopoIV,0.2337662337662337,0.2170089531230296,0.5444444444444444,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2289156626506024,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.2432113341204249,0.304464340273399,0.6349206349206349,0.0,0.2929598473666574,1.05,low,Klebsiella pneumoniae,0.3076078397349903,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
X1V19,DHFR,0.2142857142857142,0.1717385487289728,0.5238095238095238,CHEMBL120783,6.5,320.0,CHEMBL2329,C. albicans,232,0.188235294117647,0,0,N#Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,357.4200000000001,2.26138,121.23,2,7,4,24,0,0,0,0,0,0,0,0,0,0.20779220779220758,0.20386344161993952,0.6054421768707484,0.0,0.24567829083170095,1.0,low,Klebsiella pneumoniae,0.24567829083170095,2,5,DHFR; FabI; TopoIV; MurA; LpxH,FolA/DHFR is an essential folate-cycle enzyme; evidence is strongest when diaminopyrimidine-like or folate-mimetic chemistry is present and the nearest active reference ligands are similar.
X1V20,TopoIV,0.2439024390243902,0.2192816707166278,0.5730337078651685,CHEMBL4793192,6.54,290.0,CHEMBL3038508,S. aureus complex,190,0.2337662337662337,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.261640798226164,0.3095148238147284,0.6757624398073836,0.0,0.30956347103787163,1.05,low,Klebsiella pneumoniae,0.3250416445897652,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
X1V20,LpxH,0.1772151898734177,0.1705698159586043,0.7246376811594203,CHEMBL5087398,7.94,11.5,CHEMBL5855,E. coli,252,0.173469387755102,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cccnc3)sc2c1,compounds_normalized.sdf,333.398,1.7846999999999995,110.33,2,7,4,22,0,0,0,0,0,0,0,0,0,0.1403912543153049,0.20126625768578732,0.8923395445134576,0.0,0.25436312325611793,1.05,low,Klebsiella pneumoniae,0.26708127941892384,2,5,DHFR; FabI; TopoIV; MurA; LpxH,LpxH is a metal-dependent phosphodiesterase in lipid-A biosynthesis; target ranking is exploratory because the reference set is structurally heterogeneous.
X1V26,TopoIV,0.3013698630136986,0.2717902102171141,0.6888888888888889,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2933333333333333,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.36612702366127015,0.42620046714914234,0.8412698412698414,0.0,0.4158041048083969,1.05,moderate,Klebsiella pneumoniae,0.43659431004881677,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
X1V26,LpxH,0.2162162162162162,0.1825866290416332,0.7297297297297297,CHEMBL3667203,8.74,1.8,CHEMBL5855,E. coli,252,0.1785714285714285,0,0,NS(=O)(=O)c1ccc2nc(N/N=C/c3cc(Cl)ccc3O)sc2c1,compounds_normalized.sdf,382.854,2.748700000000001,117.67,3,7,4,24,0,0,0,0,0,0,0,0,1,0.21130221130221125,0.22797028675918488,0.8996138996138997,0.0,0.29758576228298683,1.05,low,Klebsiella pneumoniae,0.3124650503971362,2,5,DHFR; FabI; TopoIV; MurA; LpxH,LpxH is a metal-dependent phosphodiesterase in lipid-A biosynthesis; target ranking is exploratory because the reference set is structurally heterogeneous.
X1V9,TopoIV,0.2777777777777778,0.2493279993279993,0.5444444444444444,CHEMBL4792402,5.8,1600.0,CHEMBL3038508,S. aureus complex,190,0.2702702702702703,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.3232323232323232,0.3762844429511095,0.6349206349206349,0.0,0.3509253675920342,1.05,moderate,Klebsiella pneumoniae,0.3684716359716359,1,5,DHFR; FabI; TopoIV; MurA; LpxH,"Topoisomerase IV is a DNA-decatenation complex; because reference chemistry is often quinolone-like, low similarity should be treated as weak evidence."
X1V9,DHFR,0.216867469879518,0.1981817312704435,0.5421686746987951,CHEMBL367220,6.27,538.0,CHEMBL2329,C. albicans,232,0.2151898734177215,0,0,Cc1ccc(/C=N/Nc2nc3ccc(S(N)(=O)=O)cc3s2)cc1,compounds_normalized.sdf,346.43700000000007,2.698120000000001,97.44,2,6,4,23,0,0,0,0,0,0,0,0,0,0.21248630887185088,0.26262606948987444,0.6316695352839932,0.0,0.26665010210099305,1.0,low,Klebsiella pneumoniae,0.26665010210099305,2,5,DHFR; FabI; TopoIV; MurA; LpxH,FolA/DHFR is an essential folate-cycle enzyme; evidence is strongest when diaminopyrimidine-like or folate-mimetic chemistry is present and the nearest active reference ligands are similar.
BI-1,GyrB,0.375,0.317451558103732,0.6307692307692307,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3623188405797101,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.5,0.5276701291194044,0.7582417582417583,0.0,0.4956537960161148,1.03,moderate,Bacillus cereus,0.5105234098965983,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
BI-1,FtsZ,0.25,0.2118780096308186,0.6557377049180327,CHEMBL1651196,5.21,6210.0,CHEMBL4213,M. tuberculosis,67,0.2142857142857142,0,0,O=C(CSc1nc2cc(OC(F)F)ccc2[nH]1)Nc1ccccc1,compounds_normalized.sdf,349.3620000000001,3.895100000000002,67.00999999999999,2,4,6,24,0,0,0,0,0,0,0,0,0,0.2727272727272727,0.29306224362404126,0.7939110070257611,0.0,0.32871584832351086,1.05,low,Bacillus cereus,0.3451516407396864,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FtsZ is an essential cytokinetic GTPase; prioritization is credible only when similarity to known FtsZ ligands is accompanied by a compatible heteroaromatic pharmacophore.
BI-6,GyrB,0.3164556962025316,0.2783629095754346,0.6438356164383562,CHEMBL3341781,5.5,3132.0,CHEMBL1921666,S. aureus,253,0.3026315789473684,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.39355581127733014,0.44080646572318793,0.7769080234833661,0.0,0.42351572559196693,1.03,moderate,Bacillus cereus,0.436221197359726,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
BI-6,FtsZ,0.2298850574712643,0.2044409553150953,0.6451612903225806,CHEMBL1651202,5.11,7690.0,CHEMBL4213,M. tuberculosis,67,0.2209302325581395,0,0,Cc1cccc(NC(=O)CSc2nc3cc(OC(F)F)ccc3[nH]2)c1,compounds_normalized.sdf,363.389,4.203520000000002,67.01,2,4,6,25,0,0,0,0,0,0,0,0,0,0.23615464994775326,0.2765354562557673,0.7788018433179724,0.0,0.3040314655355143,1.05,low,Bacillus cereus,0.31923303881229004,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FtsZ is an essential cytokinetic GTPase; prioritization is credible only when similarity to known FtsZ ligands is accompanied by a compatible heteroaromatic pharmacophore.
OX-11,GyrB,0.2083333333333333,0.1963518325516762,0.7051282051282052,CHEMBL3736056,7.89,13.0,CHEMBL1921666,S. aureus,253,0.1979166666666666,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.19696969696969685,0.2585596278926138,0.8644688644688646,0.0,0.2927950851283315,1.03,low,Bacillus cereus,0.30157893768218147,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
OX-11,FabI,0.1979166666666666,0.1897944071989754,0.7012987012987013,CHEMBL45433,6.03,940.0,CHEMBL3994,S. aureus,331,0.196078431372549,0,0,Cc1cccc(C)c1NC(=O)CSc1nnc(Cn2c(=O)c3c(ncn3C)n(C)c2=O)o1,compounds_normalized.sdf,455.50000000000017,1.21264,129.84,1,8,6,32,0,0,0,0,0,0,0,0,0,0.1780303030303029,0.24398757155327863,0.8589981447124305,0.0,0.27886176611033564,1.0,low,Bacillus cereus,0.27886176611033564,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z14,GyrB,0.2,0.1896636849039595,0.7023809523809523,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.1929824561403508,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.2436970775643544,0.8605442176870748,0.02,0.30091499295324076,1.03,low,Bacillus cereus,0.30994244274183796,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z14,FabI,0.1743119266055046,0.1688334333914077,0.7051282051282052,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.1711711711711711,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Br)cc1,compounds_normalized.sdf,642.4780000000003,2.0883199999999986,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.13511259382819016,0.19740762975868376,0.8644688644688646,0.02,0.2665785340240957,1.0,low,Bacillus cereus,0.2665785340240957,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z5,GyrB,0.2277227722772277,0.2089745958424818,0.7361111111111112,CHEMBL3735238,7.03,94.0,CHEMBL1921666,S. aureus,253,0.2075471698113207,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.23222322232223216,0.2866102129832928,0.9087301587301589,0.02,0.3440736882164631,1.03,low,Bacillus cereus,0.354395898862957,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z5,FabI,0.1764705882352941,0.1695140197976128,0.6578947368421053,CHEMBL296932,6.52,300.0,CHEMBL3994,S. aureus,331,0.174757281553398,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Br)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,541.3910000000003,1.7226999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.13903743315508016,0.1989200439946951,0.7969924812030077,0.02,0.258797599756665,1.0,low,Bacillus cereus,0.258797599756665,2,5,FabI; DHFR; FtsZ; GyrB; MurA,FabI/FabL is the enoyl-ACP reductase of type-II fatty-acid synthesis; ranking is ligand-similarity based because the series lacks a canonical triclosan-like motif.
T2Z6,GyrB,0.2277227722772277,0.2067174983288157,0.7361111111111112,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.2058823529411764,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.23222322232223216,0.2815944407307015,0.9087301587301589,0.02,0.3428197451533153,1.03,low,Bacillus cereus,0.35310433750791476,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
T2Z6,MurA,0.1851851851851851,0.1784266639571752,0.5949367088607594,CHEMBL5219036,4.8,16000.0,CHEMBL1984,E. coli,94,0.1801801801801801,0,0,Cn1cnc2c1c(=O)n(CC(=O)N/N=C/c1c(-c3ccc(Cl)cc3)nc3sccn13)c(=O)n2C,compounds_normalized.sdf,496.9400000000003,1.6135999999999988,120.58,1,7,5,34,0,0,0,0,0,1,0,0,1,0.15488215488215468,0.2187259199048338,0.7070524412296564,0.02,0.25818042360173427,1.0,low,Bacillus cereus,0.25818042360173427,2,5,FabI; DHFR; FtsZ; GyrB; MurA,"MurA catalyzes the first committed enolpyruvyl-transfer step of peptidoglycan synthesis; the best-established covalent benchmark is fosfomycin, so non-electrophilic similarity is provisional."
T2Z9,GyrB,0.2,0.1858498023715415,0.7023809523809523,CHEMBL3735875,6.58,262.0,CHEMBL1921666,S. aureus,253,0.1909090909090909,0,0,Cc1c(-c2nn(-c3ccccc3)cc2/C=N/NC(=O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)nnn1-c1ccc(Cl)cc1,compounds_normalized.sdf,598.0270000000002,1.9792199999999995,151.81,1,8,7,43,0,0,0,0,0,1,0,0,1,0.18181818181818182,0.23522178304787,0.8605442176870748,0.02,0.2987961693241197,1.03,low,Bacillus cereus,0.3077600544038433,1,5,FabI; DHFR; FtsZ; GyrB; MurA,GyrB is the ATPase subunit of DNA gyrase; target evidence is based on similarity to GyrB reference ligands and should be distinguished from whole-gyrase/topoisomerase-IV predictions.
